Inventarisnr;Omschrijving;Straat;Thv;XCoord;YCoord;Deelgem;Mutdatum;Dooruser
FT400;Fietstrommel;J LIGTHARTSTR;61;51,88573074;4,497039795;Feijenoord;14/07/10;STREPE
FT401;Fietstrommel;YSCLUBSTR;69;51,92897034;4,506840229;Kralingen/Crooswijk;14/07/10;BEHEER-STZ
FT402;Fietstrommel;2E JERICHOSTR;11;51,93146133;4,506330013;Kralingen/Crooswijk;26/07/11;OOMEBE
FT403;Fietstrommel;ESSENLN;16;51,92287064;4,460539818;Kralingen/Crooswijk;14/07/10;BEHEER-STZ
FT404;Fietstrommel;TAXUSSTR;3b;51,93064117;4,506549835;Kralingen/Crooswijk;14/07/10;STREPE
FT405;Fietstrommel;R BAELDESTR;62;51,92416;4,505060196;Kralingen/Crooswijk;07/06/09;Conversie
FT406;Fietstrommel;GOUDSE RYWG;701;51,92808914;4,489039898;Kralingen/Crooswijk;14/07/10;STREPE
FT407;Fietstrommel;P POTTERSTR;30;51,92401886;4,50865984;Kralingen/Crooswijk;14/07/10;BEHEER-STZ
FT408;Fietstrommel;TAXUSSTR;3b;51,93064117;4,506549835;Kralingen/Crooswijk;14/07/10;STREPE
FT409;Fietstrommel;NOORDERHAVENKD;65;51,93392944;4,459630013;Noord;14/07/10;BEHEER-STZ
FT41;Fietstrommel;W BUYTEWECHSTR;120;51,90665054;4,457439899;Delfshaven;07/06/09;Conversie
FT410;Fietstrommel;2E JERICHOSTR;15 B;51,9306488;4,507649899;Kralingen/Crooswijk;07/06/09;Conversie
FT411;Fietstrommel;ZUIDHOEK;76;51,89213943;4,492030144;Charlois;14/07/10;BEHEER-STZ
FT412;Fietstrommel;ZUIDHOEK;269;51,89213943;4,492030144;Charlois;14/07/10;STREPE
FT413;Fietstrommel;JERICHOLN;63;51,93080902;4,506750107;Kralingen/Crooswijk;14/07/10;BEHEER-STZ
FT414;Fietstrommel;JERICHOLN;63;51,93080902;4,506750107;Kralingen/Crooswijk;14/07/10;STREPE
FT415;Fietstrommel;STATENSNGL;136;51,926651;4,456689835;Noord;14/07/10;BEHEER-STZ
FT416;Fietstrommel;LUZACSTR;16;51,93484116;4,462389946;Noord;14/07/10;STREPE
